County of Santa Barbara,,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,,,,,,,
,,,,,,,,,,,,
#421 - Figueroa Mtn,,,,,,,,,,,,
"Lat 34-44-04, Long 120-00-25, Elev 3250 ft",,,,,,,,,,,,
,,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,,
,,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,,
421,1970,1969,10,17,0.22,,,,,,,
421,1970,1969,11,6,0.88,,,,,,,
421,1970,1969,11,7,0.24,,,,,,,
421,1970,1969,11,8,0.06,,,,,,,
421,1970,1969,12,8,0.16,,,,,,,
421,1970,1969,12,9,0.11,,,,,,,
421,1970,1969,12,19,0.12,,,,,,,
421,1970,1969,12,20,0.12,,,,,,,
421,1970,1969,12,21,0.01,,,,,,,
421,1970,1969,12,26,0.26,,,,,,,
421,1970,1970,1,9,0.45,,,,,,,
421,1970,1970,1,10,1.12,,,,,,,
421,1970,1970,1,11,0.22,,,,,,,
421,1970,1970,1,15,0.27,,,,,,,
421,1970,1970,1,16,1.40,,,,,,,
421,1970,1970,1,17,0.86,,,,,,,
421,1970,1970,1,20,0.04,,,,,,,
421,1970,1970,1,24,0.20,,,,,,,
421,1970,1970,1,27,0.04,,,,,,,
421,1970,1970,2,10,0.68,,,,,,,
421,1970,1970,2,11,0.19,,,,,,,
421,1970,1970,2,12,0.01,,,,,,,
421,1970,1970,2,13,0.05,,,,,,,
421,1970,1970,2,14,0.16,,,,,,,
421,1970,1970,2,17,0.10,,,,,,,
421,1970,1970,2,28,1.03,,,,,,,
421,1970,1970,3,1,3.68,,,,,,,
421,1970,1970,3,2,0.52,,,,,,,
421,1970,1970,3,5,1.31,,,,,,,
421,1970,1970,4,13,0.10,,,,,,,
421,1970,1970,4,28,0.10,,,,,,,
421,1970,1970,6,9,0.10,,,,,,,
421,1971,1970,10,21,0.16,,,,,,,
421,1971,1970,11,5,0.28,,,,,,,
421,1971,1970,11,6,0.18,,,,,,,
421,1971,1970,11,7,0.04,,,,,,,
421,1971,1970,11,9,0.10,,,,,,,
421,1971,1970,11,26,2.50,,,,,,,
421,1971,1970,11,28,0.05,,,,,,,
421,1971,1970,11,29,2.40,,,,,,,
421,1971,1970,11,30,0.60,,,,,,,
421,1971,1970,12,1,0.09,,,,,,,
421,1971,1970,12,2,1.30,,,,,,,
421,1971,1970,12,9,0.12,,,,,,,
421,1971,1970,12,14,0.10,,,,,,,
421,1971,1970,12,16,0.17,,,,,,,
421,1971,1970,12,17,0.65,,,,,,,
421,1971,1970,12,18,0.50,,,,,,,
421,1971,1970,12,19,1.07,,,,,,,
421,1971,1970,12,20,0.01,,,,,,,
421,1971,1970,12,21,1.37,,,,,,,
421,1971,1970,12,22,0.45,,,,,,,
421,1971,1970,12,26,0.17,,,,,,,
421,1971,1970,12,28,0.21,,,,,,,
421,1971,1971,1,4,0.12,,,,,,,
421,1971,1971,1,12,0.24,,,,,,,
421,1971,1971,1,13,0.39,,,,,,,
421,1971,1971,1,14,0.29,,,,,,,
421,1971,1971,2,17,0.55,,,,,,,
421,1971,1971,2,18,0.05,,,,,,,
421,1971,1971,2,19,0.03,,,,,,,
421,1971,1971,3,13,0.99,,,,,,,
421,1971,1971,3,26,0.11,,,,,,,
421,1971,1971,4,14,1.11,,,,,,,
421,1971,1971,4,15,0.05,,,,,,,
421,1971,1971,4,17,0.37,,,,,,,
421,1971,1971,5,5,0.16,,,,,,,
421,1971,1971,5,8,0.10,,,,,,,
421,1971,1971,5,9,0.15,,,,,,,
421,1971,1971,5,27,0.05,,,,,,,
421,1971,1971,5,28,1.30,,,,,,,
421,1971,1971,5,29,0.03,,,,,,,
421,1972,1971,9,13,0.05,,,,,,,
421,1972,1971,10,6,0.11,,,,,,,
421,1972,1971,10,17,0.10,,,,,,,
421,1972,1971,10,24,0.11,,,,,,,
421,1972,1971,10,25,0.05,,,,,,,
421,1972,1971,11,11,0.11,,,,,,,
421,1972,1971,11,12,0.48,,,,,,,
421,1972,1971,11,14,0.04,,,,,,,
421,1972,1971,11,29,0.05,,,,,,,
421,1972,1971,12,3,0.23,,,,,,,
421,1972,1971,12,4,0.04,,,,,,,
421,1972,1971,12,13,0.35,,,,,,,
